Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,10/10/2010,,2,29,6326,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,30,6325,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,31,6196,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,32,6035,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,33,6094,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,34,5840,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,35,5844,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,36,5686,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,37,6525,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,38,5726,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,39,5724,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,40,6747,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,41,6578,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,42,10198,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7739,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7709,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7657,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7739,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7709,,2,25,4
Rivendell,503,H340702152,10/10/2010,,standard counts,0,7657,,2,25,4
Rivendell,503,H340702152,10/20/2010,,16,3,2390,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,4,2426,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,5,2551,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,6,2766,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,7,3297,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,8,3237,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,9,3133,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,10,3724,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,11,3692,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,12,3679,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,13,3697,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,14,3555,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,15,3741,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,16,3674,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,17,3909,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,18,3779,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,19,4077,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,20,3980,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,21,3997,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,22,4020,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,23,4159,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,24,4213,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,25,4354,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,26,4295,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,27,4264,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,28,4182,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,29,4186,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,30,4101,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,31,3883,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,32,3911,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,33,4032,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,34,3978,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,35,3716,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,36,3665,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,37,3624,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,38,3625,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,39,3613,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,40,3662,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,41,3781,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,42,3597,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,43,3930,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,44,4370,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,45,4126,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,46,4144,,2,25,
